message_id,allocation_date,authorized_customer_id,raw_message,message_difficulty,split,message_hash_sha256
M000011,2025-01-01,C011,"Please deliver 58 kg cucumber grade A, no substitutes on 2025-01-01. Customer ref C011.",standard,development,4eb2d40f16c5c46b2450a42aaf9c4d6f6a17a84d564492877075775062e2ad32
M000012,2025-01-01,C012,"Please deliver 20 kg bell pepper grade B, substitution OK; also 19 kg car grade A, no substitutes; also 1 box broccoli grade A, substitution OK on 2025-01-01. Customer ref C012.",standard,development,41eb99099041ad1703c6f6bea82e0eaac43f70d0ca8ba52a856657917f9a2864
M000013,2025-01-02,C002,"Please deliver 39 kg lett grade B, substitution OK; also 3 kg strawberry grade A, no substitutes; also 12 kg peppers grade B, substitution OK; also 2 box spinach grade A, no substitutes; also 12 kg car grade B, no substitutes on 2025-01-02. Customer ref C002.",standard,development,d9dd977ea56fd52e490ab5281f9ddda965b10b2544a78c49388327a7c2022413
M000014,2025-01-02,C003,"Please deliver 3 box toms grade A, no substitutes; also 10 kg berries grade A, no substitutes; also 10 kg capsicum grade A, no substitutes; also 1 box carrots grade A, no substitutes on 2025-01-02. Customer ref C003.",standard,development,ed6f02400ef0a0855a00dc6a94cee3da2ce9a77fb1e9b900f3843e3be4bdbeb0
M000015,2025-01-02,C004,"Please deliver 19 kg tomatoes grade A, no substitutes; also 15 kg broc grade B, substitution OK on 2025-01-02. Customer ref C004.",standard,development,d648083117df570b4e654c405a41cfa59744040211b2aa1794f15a7192db16be
M000016,2025-01-02,C005,"Please deliver 91 kg cucumber grade A, no substitutes; also 14 kg berries grade B, substitution OK; also 20 kg carrots grade A, substitution OK on 2025-01-02. Customer ref C005.",standard,development,cbe13822f2332e99cdc5caa7dc717597ae91eb61d07269134acd383ff19eb1ed
M000017,2025-01-02,C006,"Amendment - need 24 kg spinach grade A, no substitutes; also 2 box carrots grade B, substitution OK for 02/01; call if any issue. Ref 06",hard,development,61a9996d1e982ddefead7de8d54414da694382eca91b3e9d37acb65f99cd799a
M000018,2025-01-02,C007,"Please deliver 66 kg lett grade A, no substitutes; also 3 box bell pepper grade B, no substitutes; also 20 kg broc grade B, no substitutes on 2025-01-02. Customer ref C007.",standard,development,bb26891f8d679e818cf31f48e8d52f976662bce95d3662c9aacced6222e3ae7a
M000019,2025-01-02,C008,"Amendment - need 1 crate strawberry grade B, no substitutes; also 2 crate spin grade B, substitution OK for 02/01; confirm asap. Ref 08",hard,development,940d8ec111d74de4cc28ab82d98ef30a90bf550d26381425a455ec566ae2ed83
M000020,2025-01-02,C009,"Please deliver 16 kg peppers grade A, no substitutes on 2025-01-02. Customer ref C009.",standard,development,5f344bfc79fadf6f7b3c3eb7b3ec948cb4a59c820d751eb5defb1574b27bceb1
M000021,2025-01-02,C010,"Please deliver 106 kg tomatoes grade A, no substitutes; also 3 crate cuke grade A, no substitutes on 2025-01-02. Customer ref C010.",standard,development,1b8726dbb60a3fbecb7127bc028dbcb4773f0bc26e35256f739565d64b243eff
M000022,2025-01-02,C011,"Please deliver 17 kg tomato grade B, no substitutes; also 34 kg carrot grade B, no substitutes on 2025-01-02. Customer ref C011.",standard,development,8bf130d9407cef64c2c1bc41292309a903d68346cce273e8e6a1152ce4dc206c
M000023,2025-01-02,C012,"Please deliver 12 kg strawberries grade A, no substitutes on 2025-01-02. Customer ref C012.",standard,development,268d84a4edb5c4231927e94318640041e161714c37cc2411c07be5733e4a7636
M000024,2025-01-03,C001,"Please deliver 27 kg lettuce grade B, no substitutes on 2025-01-03. Customer ref C001.",standard,development,d8743b34ab22671ded8721005d21dd2bcaa0dd6268c8f6711fa1a1018d4bf308
M000025,2025-01-03,C002,"Please deliver 4 box cuke grade B, substitution OK; also 16 kg peppers grade A, no substitutes on 2025-01-03. Customer ref C002.",standard,development,df84527fadbc1426b795f13ccb5d7fe0fbdc948158d543f27fbfb52df3021667
M000026,2025-01-03,C003,"Hi team pls arrange 4 crate capsicum grade A, no substitutes for 03/01; confirm asap. Ref 03",hard,development,f489a3ef08d9eb201b7e559c8c5a04e37911875ec3c8eeb0c1fd1081d450d80e
M000027,2025-01-03,C004,"Please deliver 6 crate spin grade A, no substitutes; also 15 kg car grade B, substitution OK; also 14 kg brocc grade B, no substitutes on 2025-01-03. Customer ref C004.",standard,development,9574642a67cb531c230761a9db23a233d65fc03e78d2820b88c6cf501aac6766
M000028,2025-01-03,C005,"Morning, can u send 17 box tomato grade A, no substitutes; also 15 box lettuce grade A, no substitutes for 03/01; confirm asap. Ref 05",hard,development,39b606f7bc12d552a316f7cdd907496f1f1962cb07f0beccdf7f6040ed8546ba
M000029,2025-01-03,C006,"Please deliver 3 crate lettuce grade B, substitution OK; also 3 kg spinach grade B, substitution OK; also 2 box carrot grade B, substitution OK on 2025-01-03. Customer ref C006.",standard,development,56adf5e91d46409ae4d5d8fc7b08a6e48e1309e7334dc755182e38c7a4e3bfb7
M000030,2025-01-03,C007,"Please deliver 2 crate spin grade B, substitution OK on 2025-01-03. Customer ref C007.",standard,development,864f8962eff1d6fd33c25a512c405cee243153b1b4ad587594a34e6b49cef64e
M000031,2025-01-03,C008,"Please deliver 1 box broccoli grade A, no substitutes on 2025-01-03. Customer ref C008.",standard,development,1fbf5f01c23cf866b9995301c23dc43581115ccda5e03cd6d2f8efadbb87c2e1
M000032,2025-01-03,C009,"Please deliver 21 kg cucumbers grade A, no substitutes; also 39 kg strawberries grade B, substitution OK; also 1 box spinach grade B, substitution OK; also 16 kg carrots grade A, no substitutes on 2025-01-03. Customer ref C009.",standard,development,9be77553aa324f25b803f5cf6b3d5ed232245547569e4ee22bb339818b76b891
M000033,2025-01-03,C010,"Hi team pls arrange 13 kg tomato grade A, no substitutes; also 1 crate cuke grade B, substitution OK; also 20 kg strawberry grade A, no substitutes; also 40 kg car grade B, no substitutes; also 74 kg broccoli grade A, substitution OK for 03/01; confirm asap. Ref 10",hard,development,b36e21ce6a7230a97aa86722f40d2ba9b9dfb134dced0300a84a06c884deedca
M000034,2025-01-03,C011,"Please deliver 1 crate cucumbers grade B, no substitutes on 2025-01-03. Customer ref C011.",standard,development,fc1f25ec08fdfc2f61a3eb0f3f5566e54116881dd7a89fa9ef79b8c565570bda
M000035,2025-01-03,C012,"Amendment - need 49 kg cuke grade A, no substitutes; also 12 kg capsicum grade A, substitution OK; also 6 kg spinach grade A, no substitutes; also 3 box carrot grade B, no substitutes for 03/01; same delivery slot. Ref 12",hard,development,223d3924fb7b6ef56832ed8834ee07542664857f81f4390138334a45bd120bb5
M000036,2025-01-04,C001,"Please deliver 36 kg lettuce grade B, substitution OK; also 6 crate cuke grade A, substitution OK; also 19 kg brocc grade A, no substitutes on 2025-01-04. Customer ref C001.",standard,development,f5014a56d5fe54509e28bbc6874163246de5e2aca04685f1de1954b6b2d16b55
M000037,2025-01-04,C002,"Please deliver 14 kg tomato grade A, no substitutes on 2025-01-04. Customer ref C002.",standard,development,aca66d73c14f693139708b22970cdd46e6f685a28eeea5f5045c3b400d3d7f5f
M000038,2025-01-04,C003,"Please deliver 38 kg tomato grade A, substitution OK; also 55 kg car grade A, substitution OK on 2025-01-04. Customer ref C003.",standard,development,bd7b91cda09a87eb97d50aba0871c4ecd735c2d0dff3c7286c2930d3252d55c5
M000039,2025-01-04,C004,"Please deliver 15 kg tomato grade A, no substitutes; also 29 kg broccoli grade A, no substitutes on 2025-01-04. Customer ref C004.",standard,development,e2b960e597fdfc0c460237a2827c0241568c357ce7805dbc897d9b4baaedd2d4
M000040,2025-01-04,C005,"Please deliver 4 kg brocc grade A, substitution OK on 2025-01-04. Customer ref C005.",standard,development,d3d025ba0e72cc8a312fced5bc021f9bc30759901ea293e497b5219e5ffb1e05
M000041,2025-01-04,C006,"Please deliver 12 box peppers grade A, no substitutes on 2025-01-04. Customer ref C006.",standard,development,78b94c2c52d56c779488c5f3451de5614091c825e2b0d2dd8792f8b87dbad6ae
M000042,2025-01-04,C007,"Amendment - need 10 box tomatoes grade A, no substitutes; also 7 kg lett grade A, no substitutes; also 26 kg strawberry grade A, no substitutes; also 3 crate bell pepper grade B, substitution OK for 04/01; confirm asap. Ref 07",hard,development,edb856abc7664d5d2dc3ad5ab79c6609c4605e572196697a3a9309f99551af07
M000043,2025-01-04,C008,"Amendment - need 67 kg berries grade A, no substitutes; also 41 kg leaf spinach grade A, no substitutes for 04/01; same delivery slot. Ref 08",hard,development,12f75d829e3474ab06cf04464a030e178b56909b0d7fd439ef4479ecfbb430eb
M000044,2025-01-04,C009,"Amendment - need 46 kg cucumbers grade A, no substitutes; also 15 box spin grade B, substitution OK for 04/01; call if any issue. Ref 09",hard,development,8fd232fb7be9f6e5cdfad3ed7f62f57edb05825c1c7369bbf496f6e7f12b211d
M000045,2025-01-04,C010,"Please deliver 4 box carrot grade A, no substitutes on 2025-01-04. Customer ref C010.",standard,development,2e894aaef2339ed067d9b50331c285fff62e13af67061f728cfe166655d0d41e
M000046,2025-01-04,C011,"Please deliver 1 box tomato grade B, substitution OK on 2025-01-04. Customer ref C011.",standard,development,1159c5d7cfc25a5bc6aeba85c4140fbe1ef2407491b0b2850d7de124c86a694f
M000047,2025-01-04,C012,"Morning, can u send 26 kg leaf spinach grade B, substitution OK for 04/01; call if any issue. Ref 12",hard,development,dc9518c344ad59f8ec2aa8464ed2a574466e46f3f96d4913281aadae2b0ccba7
M000048,2025-01-05,C001,"Please deliver 25 kg lett grade B, substitution OK; also 15 kg strawberry grade A, no substitutes; also 1 box bell pepper grade B, substitution OK; also 8 kg spinach grade A, no substitutes; also 5 kg car grade A, no substitutes on 2025-01-05. Customer ref C001.",standard,development,1f80ff5319e988fe6e02232d96acd274dfdc68020091d402abe37ea2ad3cd567
M000049,2025-01-05,C002,"Hi team pls arrange 3 box car grade A, substitution OK; also 51 kg broccoli grade B, no substitutes for 05/01; call if any issue. Ref 02",hard,development,779d3172dba16d47f9dd466da786a8f8429a7898c286e23e1a6c77a2a21f22b4
M000050,2025-01-05,C003,"Hi team pls arrange 3 kg tomato grade B, substitution OK; also 6 box lettuce grade A, no substitutes; also 25 kg cucumbers grade B, no substitutes; also 13 crate strawberry grade B, substitution OK for 05/01; confirm asap. Ref 03",hard,development,80416fddaed81fb699ed2df2dd8d72ca24cff412ea22ccccc3dc31de105e1e05
M000051,2025-01-05,C004,"Please deliver 4 box tomato grade B, substitution OK; also 22 kg lettuces grade A, no substitutes on 2025-01-05. Customer ref C004.",standard,development,968400b62382723fcf6a42418eea121d1a64811590ac483e19846ca46513a2fa
M000052,2025-01-05,C005,"Please deliver 5 kg car grade B, substitution OK on 2025-01-05. Customer ref C005.",standard,development,ef9dbfeafabdfcda9a3e6889a269e83317fad8cd08da945ded637a10a55deacd
M000053,2025-01-05,C006,"Please deliver 3 kg strawberry grade A, substitution OK; also 32 kg peppers grade A, substitution OK on 2025-01-05. Customer ref C006.",standard,development,daad41d792403445af68fa6007e0bd9f851c0667d47e296a1eecc16c92fa901e
M000054,2025-01-05,C007,"Please deliver 3 kg capsicum grade A, no substitutes; also 8 box leaf spinach grade B, substitution OK; also 18 kg broc grade B, substitution OK on 2025-01-05. Customer ref C007.",standard,development,4ae7f9d4d66875bd0918fbb2520ef8c9e64abafd59ecc7e58eb63acc05873bea
M000055,2025-01-05,C008,"Please deliver 33 kg tomato grade B, no substitutes; also 63 kg cucumber grade B, substitution OK; also 12 kg bell pepper grade B, substitution OK; also 66 kg broccoli grade B, substitution OK on 2025-01-05. Customer ref C008.",standard,development,a0d79c06d9b5bbad1be61fa6c96390c5643c6e8a42ad0980c765f6743a48ab15
M000056,2025-01-05,C009,"Amendment - need 1 crate tomatoes grade B, no substitutes; also 16 kg lettuce grade B, substitution OK; also 20 kg cucumbers grade A, no substitutes for 05/01; confirm asap. Ref 09",hard,development,7e1f00919d26338b6607695a33f9ca1a03a2ce82e1962948751df3930b3650cd
M000057,2025-01-05,C011,"Hi team pls arrange 19 kg tomato grade B, substitution OK; also 14 box cucumber grade B, no substitutes; also 21 kg car grade A, substitution OK for 05/01; same delivery slot. Ref 11",hard,development,b194c8afa0dc08a0a80216586e1c1f61e2efddc156af01603fa9bb789bc63188
M000058,2025-01-05,C012,"Please deliver 13 kg lettuce grade A, no substitutes; also 3 kg cuke grade B, substitution OK; also 13 kg bell pepper grade A, no substitutes; also 7 kg spinach grade A, no substitutes; also 5 box carrots grade B, substitution OK on 2025-01-05. Customer ref C012.",standard,development,de3a78e3c485b84af84ed0498d48987ffff5818399074e56837b03bc36e66476
M000059,2025-01-06,C001,"Please deliver 13 kg bell pepper grade B, substitution OK on 2025-01-06. Customer ref C001.",standard,development,b5adcea35409b7fb075878bd19adcbd23a6e4943a0525c3de7a54ed695f5bacb
M000060,2025-01-06,C002,"Please deliver 29 kg broc grade B, no substitutes on 2025-01-06. Customer ref C002.",standard,development,2b3ab1e4891b3a7cdabe458543cbcf9e922b8bc7aa679441d8f46904b75076fc
M000061,2025-01-06,C003,"Please deliver 32 kg tomato grade A, no substitutes; also 28 kg cucumbers grade A, no substitutes; also 15 kg strawberry grade B, substitution OK; also 2 crate peppers grade A, no substitutes; also 23 kg car grade A, no substitutes; also 34 kg broc grade A, no substitutes on 2025-01-06. Customer ref C003.",standard,development,d0ff1fc7ce5fbb3db053cf528a48de609862a1ddcdbb5ef590d583b5d9f9a110
M000062,2025-01-06,C004,"Please deliver 1 box toms grade A, no substitutes; also 3 box cuke grade B, no substitutes; also 9 kg capsicum grade B, no substitutes; also 17 kg broccoli grade B, substitution OK on 2025-01-06. Customer ref C004.",standard,development,6085806b66f954056385649dc2b6c3e80f978c0da4860b5e6508c8574323cf1a
M000063,2025-01-06,C005,"Please deliver 19 kg cuke grade B, substitution OK; also 5 crate carrots grade B, substitution OK on 2025-01-06. Customer ref C005.",standard,development,d28e6a38770c4282673eab8954e205bdc199f5c7c75e356af6d7b37d8b1e210a
M000064,2025-01-06,C006,"Please deliver 3 kg berries grade A, no substitutes on 2025-01-06. Customer ref C006.",standard,development,57061a9d516d7e626d545f47c606062211b84aaada2e7c40c4d15d957eb36aa4
M000065,2025-01-06,C007,"Please deliver 20 kg tomato grade A, no substitutes; also 13 kg spinach grade A, no substitutes; also 6 kg broc grade B, substitution OK on 2025-01-06. Customer ref C007.",standard,development,7be5033586fbff72f9108551f7e3a222e33a0d4ae4295a7154c79228b7107195
M000066,2025-01-06,C008,"Amendment - need 20 kg lettuce grade B, substitution OK; also 42 kg cucumbers grade B, no substitutes for 06/01; call if any issue. Ref 08",hard,development,364d2a6eef91dceafc3c568a52875dbc39fe38be5914bbe962b2de6ee03e3e41
M000067,2025-01-06,C009,"Please deliver 6 kg toms grade A, no substitutes; also 4 crate spin grade B, substitution OK; also 7 kg car grade A, no substitutes on 2025-01-06. Customer ref C009.",standard,development,3254aa7c93518f5bd3176e7c77b555aca9656566a996df0c91186fa449b7829f
M000068,2025-01-06,C010,"Please deliver 37 kg cucumber grade B, substitution OK; also 22 kg broccoli grade B, substitution OK on 2025-01-06. Customer ref C010.",standard,development,aed950fa0204742574598367ec5cb746ccbc7a8df1a20d7404f30e3352dedd52
M000069,2025-01-06,C011,"Please deliver 66 kg lett grade A, no substitutes; also 15 kg strawberry grade A, no substitutes on 2025-01-06. Customer ref C011.",standard,development,52bd95bede413028daf3d47e6300d1292d71871672f9901221c9a365dc82f03d
M000070,2025-01-06,C012,"Please deliver 25 kg tomato grade A, no substitutes; also 3 box lettuce grade A, no substitutes on 2025-01-06. Customer ref C012.",standard,development,074a1d2ca77ad0b0877b1bd712ebf58377556d00e68082676fe06b8c581b1262
M000071,2025-01-07,C001,"Please deliver 54 kg tomato grade B, no substitutes; also 58 kg cucumbers grade B, no substitutes; also 13 kg strawberry grade B, substitution OK; also 28 kg leaf spinach grade B, no substitutes on 2025-01-07. Customer ref C001.",standard,development,31f8454172237d52d154a32e3191b1a3113152571a720f3f50b0a487bda607b3
M000072,2025-01-07,C002,"Please deliver 17 kg cucumbers grade B, substitution OK; also 6 kg strawberry grade B, substitution OK on 2025-01-07. Customer ref C002.",standard,development,0f1aa48e77c849e94058e00528a8d09f724501d6bf17f0b997b38dd38c8727db
M000073,2025-01-07,C003,"Hi team pls arrange 3 kg lett grade A, no substitutes; also 1 crate bell pepper grade B, substitution OK; also 8 kg brocc grade B, substitution OK for 07/01; call if any issue. Ref 03",hard,development,5b4e1c8570759084c5dd51bb96603e4f8c377e6d68c5b9041ffeec2ed0691cc0
M000074,2025-01-07,C004,"Morning, can u send 9 kg spin grade A, no substitutes; also 13 kg brocc grade A, substitution OK for 07/01; same delivery slot. Ref 04",hard,development,563e4cac05f2f2f473f3336d6e0caab5d9bb20bd2a95aef514ade5d777e722e4
M000075,2025-01-07,C005,"Please deliver 15 kg spinach grade B, no substitutes on 2025-01-07. Customer ref C005.",standard,development,fcbc2940651892914b1d0b542b3e9b0e491400231ecbf9660bbd7f0e966ccf3d
M000076,2025-01-07,C006,"Please deliver 20 kg lett grade A, no substitutes; also 1 crate strawberries grade B, substitution OK; also 2 box capsicum grade A, no substitutes; also 4 crate carrot grade B, substitution OK; also 14 kg broccoli grade A, no substitutes on 2025-01-07. Customer ref C006.",standard,development,e2d412161066eafb08ecb2acaac6fe9e6eb1a553cf85d9eaf3e90542c47036ea
M000077,2025-01-07,C007,"Please deliver 4 crate peppers grade A, no substitutes; also 19 kg broccoli grade B, substitution OK on 2025-01-07. Customer ref C007.",standard,development,bdbdda3315f390422e41a6a0735fa6964d2f568ad37a22eceba043ed00b8890a
M000078,2025-01-07,C008,"Please deliver 14 kg tomatoes grade A, no substitutes; also 23 kg cucumbers grade B, no substitutes; also 7 kg strawberries grade A, no substitutes; also 1 crate broc grade A, no substitutes on 2025-01-07. Customer ref C008.",standard,development,362b841b0189f7414a664141f4aea176ed0f6fdafb8e66351121a2f7d141f4a0
M000079,2025-01-07,C009,"Please deliver 4 kg tomato grade B, no substitutes; also 6 kg lettuces grade A, no substitutes; also 3 crate spin grade B, no substitutes on 2025-01-07. Customer ref C009.",standard,development,ea0a3dc09a6949378e2bdc5780012703220805b54b38cbce8b7d61f6077f9d60
M000080,2025-01-07,C010,"Please deliver 10 kg toms grade B, no substitutes; also 21 kg lettuce grade B, substitution OK; also 2 box cucumbers grade A, no substitutes; also 3 box strawberries grade A, no substitutes; also 7 kg spinach grade B, substitution OK on 2025-01-07. Customer ref C010.",standard,development,655cc07e500c0f7dc9df5609c08a9e5d8bce49ad164e29656b524a354585fda9
M000081,2025-01-07,C011,"Please deliver 13 kg lettuces grade B, substitution OK; also 7 box carrot grade A, no substitutes on 2025-01-07. Customer ref C011.",standard,development,9dbef33bb2725f2e9b98c4eb9916df39a99563c2d73f8ba23a78f453073d454a
M000082,2025-01-08,C001,"Please deliver 4 box lettuce grade B, substitution OK; also 7 kg cuke grade B, substitution OK on 2025-01-08. Customer ref C001.",standard,development,3ef9f732effea48258d9a2c6bf4933c441bd08d173ef378c5c862615641d35b9
M000083,2025-01-08,C002,"Please deliver 1 crate strawberries grade B, no substitutes; also 3 box carrots grade A, no substitutes; also 21 kg brocc grade A, no substitutes on 2025-01-08. Customer ref C002.",standard,development,216d343fc59bdfdeee8bed547052f3d83e488d9f7f08655a5dd3d28aee3efa71
M000084,2025-01-08,C003,"Please deliver 71 kg peppers grade B, substitution OK; also 12 kg leaf spinach grade A, no substitutes on 2025-01-08. Customer ref C003.",standard,development,648520ef356ed0ff340292632e869381aa80b9df489885805c8c22d055c98169
M000085,2025-01-08,C004,"Please deliver 19 kg capsicum grade B, no substitutes; also 8 kg car grade B, substitution OK; also 3 box broccoli grade A, no substitutes on 2025-01-08. Customer ref C004.",standard,development,81b8432c5e9d1e3f8cf0373eec5b9330423d79bcc8e1751c0676332dfcf0718d
M000086,2025-01-08,C005,"Amendment - need 19 kg tomato grade B, substitution OK; also 12 kg cuke grade A, no substitutes; also 10 box berries grade B, substitution OK; also 6 box spin grade B, substitution OK for 08/01; call if any issue. Ref 05",hard,development,76039e8d17302bdb60c458c3b684c2832aceec7300951799866707331d4658d4
M000087,2025-01-08,C006,"Morning, can u send 12 box tomato grade A, no substitutes; also 27 kg lett grade A, no substitutes; also 6 kg spinach grade B, substitution OK; also 38 kg carrots grade B, no substitutes for 08/01; call if any issue. Ref 06",hard,development,e4e8b26cd70dba2e12efddbd742d593e6c9ea78576126072b581d985ea65e8c9
M000088,2025-01-08,C008,"Please deliver 17 kg toms grade B, no substitutes; also 2 box cucumbers grade A, no substitutes; also 4 box broc grade B, substitution OK on 2025-01-08. Customer ref C008.",standard,development,45bb648e6bc40d777798f446b81008056fd3f5177ff48b812fb0266ab821798a
M000089,2025-01-08,C009,"Please deliver 45 kg tomatoes grade A, no substitutes; also 7 kg spin grade B, substitution OK on 2025-01-08. Customer ref C009.",standard,development,d6d3c2da6e301d46aed633538f8a69ae82afcd9a89d0a98d5199e370899d0ced
M000090,2025-01-08,C010,"Please deliver 11 kg tomatoes grade A, no substitutes; also 27 kg cucumbers grade B, substitution OK; also 15 kg broc grade A, no substitutes on 2025-01-08. Customer ref C010.",standard,development,9d7afa9b1ba0578f3d26064f4dcc42e5e31c9e73ee9be24593d517d321353f4e
M000091,2025-01-08,C011,"Hi team pls arrange 4 crate cucumbers grade B, substitution OK; also 6 kg strawberries grade B, substitution OK; also 88 kg carrot grade A, no substitutes for 08/01; same delivery slot. Ref 11",hard,development,819095c4e20f203506bbcc499be5249309c2fd3c135a8ac7c03fd5077696e6cc
M000092,2025-01-08,C012,"Please deliver 11 kg lettuce grade B, no substitutes; also 15 kg peppers grade A, no substitutes; also 8 box spin grade A, no substitutes on 2025-01-08. Customer ref C012.",standard,development,efc477cff43eccdd2f60d3d2aa96b19296d834347f9e56c8661e27435d9a4a32
M000093,2025-01-09,C001,"Amendment - need 2 box strawberry grade B, substitution OK; also 24 kg leaf spinach grade B, substitution OK for 09/01; confirm asap. Ref 01",hard,development,80b44d450012338260eff3bf9342a7b73c56a1c81c8eb204c5fa061fd13e9438
M000094,2025-01-09,C002,"Please deliver 8 crate tomato grade A, no substitutes; also 6 box lettuce grade A, no substitutes; also 23 kg car grade A, no substitutes; also 35 kg broc grade A, no substitutes on 2025-01-09. Customer ref C002.",standard,development,05da4054fefc1483670416156ef80b870748680a74f573607092291b4ea1380d
M000095,2025-01-09,C003,"Please deliver 26 kg peppers grade B, substitution OK; also 6 box leaf spinach grade B, substitution OK; also 48 kg carrots grade B, substitution OK on 2025-01-09. Customer ref C003.",standard,development,d1210b9010bd5698fe2511c47633884e474c1074352cb15230ee72649485cd09
M000096,2025-01-09,C004,"Please deliver 3 kg berries grade A, substitution OK; also 19 kg peppers grade B, substitution OK on 2025-01-09. Customer ref C004.",standard,development,22f8a93bd13702eb2d490fa7d89dd34aaf1c4aa92b3ac5ca98b714b9756ccf76
M000097,2025-01-09,C005,"Please deliver 59 kg tomato grade A, no substitutes; also 31 kg lettuces grade A, no substitutes; also 5 box broccoli grade B, substitution OK on 2025-01-09. Customer ref C005.",standard,development,3f2cd0cba7bd285ec96a6dca5eab03e559d3d5377830c7f3368ea5b1dd6b2564
M000098,2025-01-09,C006,"Amendment - need 26 kg lettuce grade A, no substitutes for 09/01; call if any issue. Ref 06",hard,development,9ef1f5950b255b5ce3837ba2f7f33f5906bae43dedae17a360425e05e54bb03f
M000099,2025-01-09,C007,"Hi team pls arrange 24 kg berries grade A, no substitutes; also 19 kg peppers grade A, no substitutes; also 21 kg spin grade A, no substitutes; also 3 crate car grade A, no substitutes for 09/01; call if any issue. Ref 07",hard,development,5fe230207cd74d6d31eed277a3179fd7f8c58f51699cf036ddcac92920c5065e
M000100,2025-01-09,C008,"Hi team pls arrange 20 kg lett grade B, no substitutes; also 55 kg cucumber grade B, substitution OK; also 2 box berries grade B, substitution OK for 09/01; same delivery slot. Ref 08",hard,development,4c7362ef115dfcb73fcd612ad75d3850de27fd50cd73d15cc7288b991af99f48
M000101,2025-01-09,C009,"Please deliver 10 kg broc grade B, no substitutes on 2025-01-09. Customer ref C009.",standard,development,5a87027f8ef2d85dc41348138bc5035e1c8f3df80e819ff1f39b5c5c7b8bf57e
M000102,2025-01-09,C010,"Please deliver 8 kg lett grade B, substitution OK; also 3 crate strawberries grade A, no substitutes on 2025-01-09. Customer ref C010.",standard,development,43411319187d40f08577039b5f984d559f6deffb64cebec7aa33792f4c09d25f
M000103,2025-01-09,C011,"Please deliver 14 kg capsicum grade B, substitution OK on 2025-01-09. Customer ref C011.",standard,development,22900f6af859ca3ba7505e8b9a606050abdab92ecdd121a4e91856f97173398e
M000104,2025-01-09,C012,"Please deliver 39 kg cucumbers grade A, no substitutes on 2025-01-09. Customer ref C012.",standard,development,e4b8c898aba5bdc6ef9133cb5479cfcf2b02af1b4bc00dd2546be38cb381d2aa
M000105,2025-01-10,C001,"Hi team pls arrange 8 box berries grade A, no substitutes for 10/01; call if any issue. Ref 01",hard,development,f4709cc6dbeb5ada6ff823c34878792439347c52a7762ebb0218a9d109aa464f
